object1position_x,object1position_y,object1position_z,object1scaling_x,object1scaling_y,object1scaling_z,object2position_x,object2position_y,object2position_z,object2scaling_x,object2scaling_y,object2scaling_z,cameraposition_x,cameraposition_y,cameraposition_z,camerascaling_x,camerascaling_y,camerascaling_z,wallposition_x,wallposition_y,wallposition_z,wallscaling_x,wallscaling_y,wallscaling_z,planeposition_x,planeposition_y,planeposition_z,planescaling_x,planescaling_y,planescaling_z,attentionposition_x,attentionposition_y,attentionposition_z
6,2.7,-0.2,150,150,150,-5.5,2.5,-0.4,150,150,150,-4.5,5,-20,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-8,3.6,-9.7
-9.2,1.8,-0.4,150,150,150,0,3.5,-0.2,150,150,150,-4.5,5,-19.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.5,1.8,-9.4
3.1,3.2,-0.2,150,150,150,7.4,2.7,-0.4,150,150,150,-4.5,5,-19.2,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.7,2.6,-8.9
-6.7,3,-0.3,150,150,150,-2.3,2,-0.4,150,150,150,-4.5,5,-16.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,1,2.4,-6.3
2,1.6,-0.2,150,150,150,-7.9,3.4,-0.4,150,150,150,-4.5,5,-14.4,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5.8,2.2,-4.1
0.2,1.6,-0.5,150,150,150,4.7,1.9,-0.3,150,150,150,-4.5,5,-17.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-6.3,2.3,-7.4
-5.9,2.1,-0.2,150,150,150,2.2,3.2,-0.4,150,150,150,-4.5,5,-14.2,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.2,1.4,-3.9
-3.1,3.5,-0.5,150,150,150,-10,3.2,-0.3,150,150,150,-4.5,5,-17.8,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-0.5,2.1,-7.5
-4.9,3.1,-0.3,150,150,150,7.6,2.4,-0.2,150,150,150,-4.5,5,-13.4,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.4,2.4,-3.1
-6.5,2.2,-0.5,130,140,125,-6.3,2.6,-0.4,120,120,120,-14.4,5,-18.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5,1.7,-8.4
5.2,1.8,-0.2,500,550,500,2.5,3.3,-0.4,50,50,50,-4.5,5,-20,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,0.1,2.1,-9.7
-5.5,2.8,-0.2,500,550,500,-8.7,2.2,-0.3,50,50,50,-4.5,5,-19.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,0,2.4,-9.3
1.3,3.4,-0.5,500,550,500,-0.8,2.9,-0.2,50,50,50,-4.5,5,-18.1,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5,2.2,-7.8
-0.8,1.7,-0.2,500,550,500,-7.4,2.7,-0.2,50,50,50,-4.5,5,-18.2,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.9,2,-7.9
-4.5,2.8,-0.3,500,550,500,-7.9,3,-0.2,50,50,50,-7,5,-19.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-2.4,1.4,-9
-4.1,1.7,-0.2,500,550,500,-1.7,2.2,-0.5,50,50,50,-7,5,-17.8,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5.7,1.9,-7.5
-7.4,3.4,-0.2,500,550,500,-5.8,3,-0.3,50,50,50,-7.2,5,-17.1,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.6,1.3,-6.8
0.7,2.5,-0.3,500,550,500,7.8,2.1,-0.3,50,50,50,-7.2,5,-17.8,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-7.6,2.4,-7.5
-6.1,3.5,-0.4,500,550,500,1.5,2.3,-0.4,50,50,50,-5.6,5,-17.8,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.9,1.7,-7.5
-4.1,2.3,-0.4,500,550,500,-0.6,2.5,-0.4,50,50,50,-6.2,5,-16.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-0.3,1.6,-6.6
0,2.4,-0.4,500,550,500,-5.7,1.7,-0.3,50,50,50,-6.2,5,-16.9,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.6,2.2,-6.6
-3.8,2.2,-0.4,500,550,500,-3.8,2.9,-0.2,50,50,50,-6.2,5,-15.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-1.2,2.1,-5.3
-6.4,2.6,-0.4,500,550,500,1.7,2.9,-0.3,50,50,50,-6.2,5,-17.2,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.3,2,-6.9
-2,2.4,-0.5,500,550,500,-9.4,3.4,-0.3,50,50,50,-6.2,5,-16.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-0.8,2,-6
7.5,2,-0.5,500,550,500,-3.7,2.5,-0.5,50,50,50,-8.8,5,-15.7,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-3.3,2,-5.4
5.3,1.6,-0.3,500,550,500,-10.2,3.1,-0.4,50,50,50,-4.9,5,-15.4,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.6,3.8,-5.1
-6.1,2.4,-0.3,500,550,500,4.9,2,-0.4,50,50,50,-10.5,5,-15.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,2.9,2.8,-5
3.7,1.6,-0.2,500,550,500,-4.1,2,-0.2,50,50,50,-10.5,5,-15.4,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-6.9,1.9,-5.1
-2.7,2.1,-0.5,500,550,500,4.2,3.4,-0.2,50,50,50,-10.5,5,-15.3,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-4.9,1.6,-5
6.3,1.6,-0.5,500,550,500,-1.8,2.6,-0.4,50,50,50,-10.5,5,-18.6,1,1,1,-2.54,2.77,0.24,2.5,1,1,-2.51,-2.51,-5.04,2.5,1,1,-5,1.6,-8.3
